Dealer #,Original Order Date,Custome #,Product CD,Offer,Quantity Billed
3837687,8/5/2020,86591,YA,Desktop,1
2380614,10/15/2020,9455,VPR,Desktop,1
3838438,8/14/2020,89290,YA,Desktop,1
2380614,9/25/2020,2598,YAL,Desktop,1
3838438,8/13/2020,88978,YA,Desktop,2
3837687,8/13/2020,88999,YAI,Desktop,1
3837687,8/13/2020,88976,YAI,Desktop,1
3837687,8/14/2020,89289,YA,Desktop,1
3838438,8/13/2020,88969,YA,Desktop,3
3837687,8/13/2020,89001,VPR,Desktop,1
3837687,8/27/2020,93030,VPR,Desktop,1
3837687,8/27/2020,93031,YA,Desktop,1
3837687,8/5/2020,86564,YA,Desktop,1
3876574,10/15/2020,9499,TLT,Desktop,1
3837687,8/4/2020,85943,VPR,Desktop,1
2380614,9/25/2020,2598,YAI,Desktop,1
3837687,8/26/2020,92715,VSI,Desktop,1
2380614,10/15/2020,9479,YAI,Desktop,1
3838438,8/2/2020,85671,YA,Desktop,1
3876574,10/14/2020,9086,YA,Desktop,1
3837687,8/27/2020,93023,YAI,Desktop,1
3837687,8/31/2020,94112,TLT,Desktop,1
3837687,8/31/2020,94109,VPR,Desktop,1
2380614,10/15/2020,9489,YAI,Desktop,1
2380614,10/15/2020,9480,YAL,Desktop,1
2380614,10/15/2020,9479,VLT,Desktop,1
3837687,8/31/2020,93417,YA,Desktop,1
3876574,10/14/2020,9057,YA,Desktop,1
3876574,10/14/2020,9065,TLT,Desktop,2
2380614,9/27/2020,2999,VPR,Desktop,1
3838438,8/2/2020,85670,YA,Desktop,1
3837687,8/26/2020,92723,YA,Desktop,1
3838438,8/26/2020,92708,YA,Desktop,1
2380614,9/28/2020,3396,TLT,Desktop,1
2380614,10/15/2020,9498,VPR,Desktop,1
3876574,9/28/2020,3412,YAI,Desktop,1
2380614,10/15/2020,9497,VLT,Desktop,1
2380614,10/21/2020,11772,TLT,Desktop,1
2380614,10/14/2020,9064,V3D,Desktop,1
3838438,8/4/2020,86261,YA,Desktop,1
3838438,8/27/2020,93038,TLT,Desktop,1
3838438,8/27/2020,93043,VLT,Desktop,-1
3838438,8/27/2020,93043,VLT,Desktop,1
3837687,8/14/2020,89286,YA,Desktop,1
3837687,8/13/2020,88968,YAI,Desktop,1
3837687,8/13/2020,88967,VPR,Desktop,1
3837687,8/13/2020,88965,VPR,Desktop,1
3837687,8/13/2020,88974,YAI,Desktop,1
3837687,8/27/2020,93021,VPR,Desktop,1
3837687,8/14/2020,89291,TLT,Desktop,1
2380614,10/14/2020,9084,YAI,Desktop,1
2380614,9/28/2020,3443,YAL,Desktop,1
3876574,10/14/2020,9094,TLT,Desktop,1
2380614,10/14/2020,9100,YA,Desktop,1
2380614,10/16/2020,9548,TLT,Desktop,1
2380614,9/28/2020,3409,TLT,Desktop,1
2380614,10/16/2020,9530,VMA,Desktop,1
2380614,10/16/2020,9557,YAI,Desktop,1
2380614,10/15/2020,9355,YA,Desktop,1
2380614,10/21/2020,11456,VMA,Desktop,1
2380614,9/28/2020,3398,YA,Desktop,1
2380614,10/21/2020,11460,TLT,Desktop,1
2380614,9/28/2020,3393,YA,Desktop,1
2380614,10/16/2020,9552,TLT,Desktop,1
2380614,10/21/2020,11459,TLT,Desktop,1
2380614,9/28/2020,3401,TLT,Desktop,1
3838438,8/6/2020,86891,TLT,Desktop,1
3838438,8/6/2020,86891,TLT,Desktop,-1
3838438,8/6/2020,86893,TLT,Desktop,1
3838438,8/6/2020,86899,TLT,Desktop,1
3837687,8/6/2020,86907,YA,Desktop,1
2380614,10/14/2020,9064,TLT,Desktop,1
2380614,10/21/2020,11768,YA,Desktop,1
2380614,10/15/2020,9511,TLT,Desktop,2
2380614,10/14/2020,9071,TLT,Desktop,1
2380614,9/25/2020,2273,TLT,Desktop,1
3837687,8/31/2020,94157,YAI,Desktop,1
3837687,8/31/2020,94156,YAI,Desktop,1
3837687,8/31/2020,94156,YAI,Desktop,-1
3876574,10/15/2020,9446,YA,Desktop,1
2380614,9/25/2020,2276,YAL,Desktop,1
2380614,9/25/2020,2276,VPR,Desktop,1
2380614,9/25/2020,2283,YAI,Desktop,1
2380614,9/25/2020,2275,VPR,Desktop,1
2380614,10/15/2020,9159,YA,Desktop,1
3837687,8/31/2020,94168,YAI,Desktop,1
2380614,9/25/2020,2279,V3D,Desktop,1
2380614,9/25/2020,2275,V3D,Desktop,1
2380614,9/25/2020,2296,YA,Desktop,1
3876574,10/21/2020,11446,TLT,Desktop,1
2380614,9/25/2020,2316,TLT,Desktop,1
2380614,10/21/2020,11430,V3D,Desktop,1
2380614,10/21/2020,11437,V3D,Desktop,1
2380614,9/25/2020,2311,YA,Desktop,1
2380614,9/25/2020,2314,VPR,Desktop,1
2380614,9/25/2020,2303,YAL,Desktop,1
2380614,10/21/2020,11441,YAI,Desktop,1
3837687,8/6/2020,86903,TLT,Desktop,1
2380614,9/25/2020,2319,TLT,Desktop,1
2380614,10/21/2020,11438,TLT,Desktop,1
3876574,10/21/2020,11426,V3D,Desktop,1
3876574,10/15/2020,9124,TLT,Desktop,1
2380614,9/25/2020,2318,TLT,Desktop,1
3876574,10/21/2020,11430,TLT,Desktop,1
2380614,10/16/2020,9556,YAI,Desktop,1
3837687,8/31/2020,93410,YA,Desktop,1
3837687,8/27/2020,92729,VSI,Desktop,1
3837687,8/31/2020,94122,VPR,Desktop,1
3837687,8/27/2020,92718,YA,Desktop,1
3837687,8/26/2020,92470,V3D,Desktop,1
3837687,8/26/2020,92419,VPR,Desktop,1
3837687,8/31/2020,94136,VPR,Desktop,1
3837687,8/31/2020,94132,TLT,Desktop,1
3837687,8/31/2020,94133,YA,Desktop,1
3837687,8/13/2020,88643,YAI,Desktop,1
3837687,8/13/2020,88650,VLT,Desktop,1
3838438,8/31/2020,94114,VPR,Desktop,1
3837687,8/31/2020,94128,TLT,Desktop,10
3876574,10/15/2020,9454,V3D,Desktop,1
3837687,8/6/2020,86890,VLT,Desktop,1
3837687,8/6/2020,86913,YAL,Desktop,1
3837687,8/6/2020,86893,YA,Desktop,-1
3837687,8/6/2020,86893,YA,Desktop,1
3837687,8/6/2020,86897,YA,Desktop,1
